date,overnight_rate,SourceMode,RetrievedAt
2025-08-28,2.03,BRONZE,2026-08-19T08:42:01+07:00
2025-08-29,2.03,BRONZE,2026-08-19T08:42:01+07:00
2025-09-29,3.81,BRONZE,2026-08-19T08:42:01+07:00
2025-09-30,4.38,BRONZE,2026-08-19T08:42:01+07:00
2025-10-28,5.36,BRONZE,2026-08-19T08:42:01+07:00
2025-10-29,4.17,BRONZE,2026-08-19T08:42:01+07:00
2025-10-30,3.2,BRONZE,2026-08-19T08:42:01+07:00
2025-10-31,4.45,BRONZE,2026-08-19T08:42:01+07:00
2025-11-28,5.4,BRONZE,2026-08-19T08:42:01+07:00
2025-12-29,3.29,BRONZE,2026-08-19T08:42:01+07:00
2025-12-30,1.77,BRONZE,2026-08-19T08:42:01+07:00
2025-12-31,1.77,BRONZE,2026-08-19T08:42:01+07:00
2026-01-29,4.1,BRONZE,2026-08-19T08:42:01+07:00
2026-01-30,5.09,BRONZE,2026-08-19T08:42:01+07:00
2026-03-30,11.42,BRONZE,2026-08-19T08:42:01+07:00
2026-03-31,9.57,BRONZE,2026-08-19T08:42:01+07:00
2026-04-29,3.88,BRONZE,2026-08-19T08:42:01+07:00
2026-05-29,6.97,BRONZE,2026-08-19T08:42:01+07:00
2026-06-29,3.73,BRONZE,2026-08-19T08:42:01+07:00
2026-06-30,12.49,BRONZE,2026-08-19T08:42:01+07:00
2026-07-29,1.33,BRONZE,2026-08-19T08:42:01+07:00
2026-07-30,0.75,BRONZE,2026-08-19T08:42:01+07:00
2026-07-31,5.72,BRONZE,2026-08-19T08:42:01+07:00
