Ticker,Horizon,LPI,BaseVulnerability,StressVulnerability,FundingCostShock_ppt,StressedNIM,Watch,Coverage,Data Type,Source Mode
VCB,Current,0.0,44.98499999999999,44.98499999999999,0.8996999999999998,0.025003000000000004,GREEN,1.0,ASSUMPTION,FALLBACK
BID,Current,0.0,55.22500000000001,55.22500000000001,1.1045000000000003,0.018954999999999996,RED,1.0,ASSUMPTION,FALLBACK
CTG,Current,0.0,53.14000000000001,53.14000000000001,1.0628000000000002,0.020371999999999998,GREEN,1.0,ASSUMPTION,FALLBACK
TCB,Current,0.0,42.5,42.5,0.85,0.0315,GREEN,1.0,ASSUMPTION,FALLBACK
MBB,Current,0.0,44.989999999999995,44.989999999999995,0.8997999999999999,0.032002,GREEN,1.0,ASSUMPTION,FALLBACK
ACB,Current,0.0,49.904999999999994,49.904999999999994,0.9980999999999999,0.027019,GREEN,1.0,ASSUMPTION,FALLBACK
HDB,Current,0.0,55.20000000000001,55.20000000000001,1.104,0.03396,GREEN,1.0,ASSUMPTION,FALLBACK
VPB,Current,0.0,58.825,58.825,1.1765,0.038235000000000005,GREEN,1.0,ASSUMPTION,FALLBACK
STB,Current,0.0,56.125,56.125,1.1225,0.023775000000000004,GREEN,1.0,ASSUMPTION,FALLBACK
VIB,Current,0.0,59.045,59.045,1.1809,0.031190999999999997,GREEN,1.0,ASSUMPTION,FALLBACK
SHB,Current,0.0,57.57999999999999,57.57999999999999,1.1515999999999997,0.020484000000000002,GREEN,1.0,ASSUMPTION,FALLBACK
TPB,Current,0.0,53.120000000000005,53.120000000000005,1.0624,0.027375999999999998,GREEN,1.0,ASSUMPTION,FALLBACK
LPB,Current,0.0,54.565000000000005,54.565000000000005,1.0913000000000002,0.025086999999999998,GREEN,1.0,ASSUMPTION,FALLBACK
OCB,Current,0.0,58.78500000000001,58.78500000000001,1.1757000000000002,0.022243,GREEN,1.0,ASSUMPTION,FALLBACK
MSB,Current,0.0,48.169999999999995,48.169999999999995,0.9633999999999999,0.028366000000000002,GREEN,1.0,ASSUMPTION,FALLBACK
SSB,Current,0.0,48.92500000000001,48.92500000000001,0.9785000000000003,0.020214999999999997,GREEN,1.0,ASSUMPTION,FALLBACK
EIB,Current,0.0,45.02,45.02,0.9004000000000001,0.018996,RED,1.0,ASSUMPTION,FALLBACK
NAB,Current,0.0,57.27,57.27,1.1454,0.021546000000000003,GREEN,1.0,ASSUMPTION,FALLBACK
KLB,Current,0.0,54.485,54.485,1.0897,0.023103000000000005,GREEN,1.0,ASSUMPTION,FALLBACK
BAB,Current,0.0,54.4,54.4,1.088,0.019119999999999998,RED,1.0,ASSUMPTION,FALLBACK
VCB,5D,0.10492584527829901,44.98499999999999,45.693013372476635,0.9138602674495327,0.024861397325504676,GREEN,1.0,ASSUMPTION,FALLBACK
BID,5D,0.10492584527829901,55.22500000000001,56.094179470824116,1.1218835894164823,0.018781164105835177,RED,1.0,ASSUMPTION,FALLBACK
CTG,5D,0.10492584527829901,53.14000000000001,53.976363912713325,1.0795272782542664,0.020204727217457336,GREEN,1.0,ASSUMPTION,FALLBACK
TCB,5D,0.10492584527829901,42.5,43.16890226364915,0.863378045272983,0.031366219547270174,GREEN,1.0,ASSUMPTION,FALLBACK
MBB,5D,0.10492584527829901,44.989999999999995,45.698092066860596,0.9139618413372119,0.03186038158662788,GREEN,1.0,ASSUMPTION,FALLBACK
ACB,5D,0.10492584527829901,49.904999999999994,50.69044864629202,1.0138089729258404,0.026861910270741595,GREEN,1.0,ASSUMPTION,FALLBACK
HDB,5D,0.10492584527829901,55.20000000000001,56.068785998904325,1.1213757199780865,0.033786242800219135,GREEN,1.0,ASSUMPTION,FALLBACK
VPB,5D,0.10492584527829901,58.825,59.75083942727439,1.1950167885454879,0.03804983211454512,GREEN,1.0,ASSUMPTION,FALLBACK
STB,5D,0.10492584527829901,56.125,57.00834445993668,1.1401668891987335,0.02359833110801267,GREEN,1.0,ASSUMPTION,FALLBACK
VIB,5D,0.10492584527829901,59.045,59.974301980168576,1.1994860396033715,0.03100513960396628,GREEN,1.0,ASSUMPTION,FALLBACK
