date,omo,fx,OMO_z,FX_z,LPI_components,LPI
2018-01-02,-5378.0,,,,0,
2018-01-03,,,,,0,
2018-01-04,2875.0,,,,0,
2018-01-05,-12820.0,,,,0,
2018-01-08,,,,,0,
2018-01-09,-3000.0,,,,0,
2018-01-10,-4106.9,,,,0,
2018-01-11,-1184.8,,,,0,
2018-01-12,3004.3,,,,0,
2018-01-15,2000.0,,,,0,
2018-01-16,1000.0,,,,0,
2018-01-17,-4000.1,,,,0,
2018-01-18,-4000.1,,,,0,
2018-01-19,-2000.2,,,,0,
2018-01-22,0.3,,,,0,
2018-01-23,,,,,0,
2018-01-24,,,,,0,
2018-01-25,-1108.1,,,,0,
2018-01-26,3826.1,,,,0,
2018-01-29,1999.7,,,,0,
2018-01-30,107.9,,,,0,
2018-01-31,2000.0,,,,0,
2018-02-01,6051.0,,,,0,
2018-02-02,2999.8,,-0.8460330714103622,,1,
2018-02-05,8000.0,,-1.8025178881458574,,1,
2018-02-06,8102.0,,-1.6581341253931174,,1,
2018-02-07,10352.9,,-1.8986634582939623,,1,
2018-02-08,9859.0,,-1.6527989427148475,,1,
2018-02-09,10153.0,,-1.5812649086796753,,1,
2018-02-12,,,,,0,
2018-02-13,,,,,0,
2018-02-14,,,,,0,
2018-02-15,,,,,0,
2018-02-16,,,,,0,
2018-02-19,,,,,0,
2018-02-20,,,,,0,
2018-02-21,,,,,0,
2018-02-22,-16961.0,,2.7085028114385516,,1,
2018-02-23,-24753.0,,3.0435505486634136,,1,
2018-02-26,-17250.0,,1.9218610349954133,,1,
2018-02-27,-27312.0,,2.630839445402023,,1,
2018-02-28,-13353.0,,1.1455043451323157,,1,
2018-03-01,-5500.0,,0.3355685843361565,,1,
2018-03-02,0.0,,-0.23217836513704376,,1,
2018-03-05,-8000.0,,0.599596417582874,,1,
2018-03-06,-7000.0,,0.4841274103672763,,1,
2018-03-07,-4989.7,,0.26328125919132933,,1,
2018-03-08,6000.0,,-0.9144668370328567,,1,
2018-03-09,4600.0,,-0.74499540428648,,1,
2018-03-12,4000.0,,-0.6659520120193108,,1,
2018-03-13,-1999.8,,0.0005961369997257693,,1,
2018-03-14,-1010.3,,-0.10943417608338146,,1,
2018-03-15,-8800.0,,0.7638229420237055,,1,
2018-03-16,-5279.8,,0.35553848258653736,,1,
2018-03-19,-1110.0,,-0.12612778406530312,,1,
