id,item,level,order,unit,2024-Q4,2025,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
IS_PROFIT_BEFORE_TAX,IS_PROFIT_BEFORE_TAX,1,8,VNĐ,447038000000.0,1473569000000.0,367301000000.0,303837000000.0,145184000000.0,657247000000.0,378249000000.0,303940000000.0
IS_NET_PROFIT_AFTER_TAX,IS_NET_PROFIT_AFTER_TAX,1,9,VNĐ,360663000000.0,1189601000000.0,293210000000.0,243251000000.0,118127000000.0,535013000000.0,300085000000.0,243147000000.0
IS_MINORITY_INTEREST,IS_MINORITY_INTEREST,1,10,VNĐ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS_CASH_AND_PRECIOUS_METALS,BS_CASH_AND_PRECIOUS_METALS,1,11,VNĐ,566596000000.0,585389000000.0,596489000000.0,793081000000.0,601223000000.0,585389000000.0,696138000000.0,623834000000.0
BS_FIXED_ASSETS,BS_FIXED_ASSETS,1,18,VNĐ,1058591000000.0,1040596000000.0,1051933000000.0,1047645000000.0,1039051000000.0,1040596000000.0,1067690000000.0,1057534000000.0
BS_TOTAL_ASSETS,BS_TOTAL_ASSETS,1,19,VNĐ,165486693000000.0,195820302000000.0,175365541000000.0,184957884000000.0,191964536000000.0,195820302000000.0,193569826000000.0,214351093000000.0
BS_TOTAL_LIABILITIES,BS_TOTAL_LIABILITIES,1,23,VNĐ,153704243000000.0,182511398000000.0,163289881000000.0,172753879000000.0,179190604000000.0,182511398000000.0,179960958000000.0,200611703000000.0
BS_CHARTER_CAPITAL,BS_CHARTER_CAPITAL,1,24,VNĐ,8959336000000.0,10032190000000.0,9580218000000.0,9580218000000.0,10032190000000.0,10032190000000.0,10721402000000.0,10721402000000.0
CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,1,26,VNĐ,750897000000.0,14247383000000.0,1421864000000.0,14755282000000.0,-6537859000000.0,4608096000000.0,3767915000000.0,2144777000000.0
CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,1,27,VNĐ,-13152000000.0,18730000000.0,-6257000000.0,-4701000000.0,6585000000.0,23103000000.0,-40066000000.0,488000000.0
RT_VALUE_PE,P/E Ratio,1,29,lần,10.3262160475,9.8974653353,11.3225955844,11.5949062365,12.0375044338,9.8175220929,10.7144073264,10.3443268627
RT_VALUE_PB,P/B Ratio,1,30,lần,0.88627052,0.8140989822,0.9864175977,1.0621965575,0.9974126965,0.9022508729,0.957010024,0.9059752822
RT_PRT_ROE,ROE %,1,33,%,0.0892912447,0.0948215868,0.0889490319,0.0938533653,0.0831558705,0.0948215868,0.0922215746,0.0895638783
RT_PRT_ROA,ROA %,1,34,%,0.0063655037,0.0065849874,0.0063468897,0.0065350644,0.0056577701,0.0065849874,0.0062453682,0.0060141528
RT_BANK_NIM,Net Interest Margin (NIM),1,35,%,0.0253133508,0.0228014901,0.0250016001,0.0239456979,0.0226350517,0.0228014901,0.0224070824,0.0232718615
RT_BANK_COF,Cost of Funds (COF),1,36,%,-0.0591327275,-0.0615022908,-0.0581612131,-0.0583075077,-0.0589514376,-0.0615022908,-0.0606695931,-0.06176418
RT_BANK_CIR,Cost to Income Ratio (CIR),1,37,%,-0.6143935353,-0.5749174917,-0.5594199656,-0.6122311604,-0.7067294645,-0.5749174917,-0.5121538885,-0.5029170024
RT_BANK_LDR,Loan to Deposit Ratio (LDR),1,38,%,0.8939460123,0.9951316147,0.8908552613,0.8781315542,0.9611859054,0.9951316147,1.0165977004,1.1338242212
RT_BANK_NPL,Non-Performing Loans Ratio (NPL),1,39,%,0.0124064465,0.0115085898,0.0126434524,0.0125319017,0.0113492286,0.0115085898,0.0188254709,0.0113021953
RT_BANK_NPL_COVERAGE,NPL Coverage Ratio,1,40,%,-0.9744489431,-1.0754166019,-0.9807586825,-1.0113882299,-1.0837218554,-1.0754166019,-0.6794786177,-1.3487085123
RT_BANK_CAR,Capital Adequacy Ratio (CAR),1,41,%,0.0,0.101,0.0,0.1001,0.0,0.0,0.0,0.0
