id,item,level,order,unit,2024-Q4,2025,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
IS_PROFIT_BEFORE_TAX,IS_PROFIT_BEFORE_TAX,1,8,VNĐ,12251018000000.0,43443809000000.0,6823198000000.0,12097152000000.0,10614390000000.0,13909069000000.0,11139360000000.0,14728745000000.0
IS_NET_PROFIT_AFTER_TAX,IS_NET_PROFIT_AFTER_TAX,1,9,VNĐ,9878172000000.0,34871266000000.0,5499387000000.0,9752005000000.0,8512463000000.0,11107411000000.0,8960041000000.0,11783490000000.0
IS_MINORITY_INTEREST,IS_MINORITY_INTEREST,1,10,VNĐ,79921000000.0,266785000000.0,80512000000.0,82120000000.0,63679000000.0,40474000000.0,43062000000.0,43430000000.0
BS_CASH_AND_PRECIOUS_METALS,BS_CASH_AND_PRECIOUS_METALS,1,11,VNĐ,11147549000000.0,12583484000000.0,11517746000000.0,11463197000000.0,11927654000000.0,12583484000000.0,12295797000000.0,12998380000000.0
BS_FIXED_ASSETS,BS_FIXED_ASSETS,1,18,VNĐ,10002157000000.0,10826743000000.0,9800697000000.0,9957216000000.0,9979231000000.0,10826743000000.0,10766129000000.0,10708883000000.0
BS_TOTAL_ASSETS,BS_TOTAL_ASSETS,1,19,VNĐ,2385387732000000.0,2767699300000000.0,2469863401000000.0,2609788006000000.0,2761550938000000.0,2767699300000000.0,2924176928000000.0,2962003670000000.0
BS_TOTAL_LIABILITIES,BS_TOTAL_LIABILITIES,1,23,VNĐ,2236883024000000.0,2588044295000000.0,2315881229000000.0,2445961810000000.0,2591669938000000.0,2588044295000000.0,2735484770000000.0,2761789368000000.0
BS_CHARTER_CAPITAL,BS_CHARTER_CAPITAL,1,24,VNĐ,53699917000000.0,77669446000000.0,53699917000000.0,53699917000000.0,53699917000000.0,77669446000000.0,77669446000000.0,77669446000000.0
CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,1,26,VNĐ,1670206000000.0,82644000000000.0,-8760941000000.0,27016581000000.0,66767196000000.0,-2378836000000.0,127479653000000.0,-36111511000000.0
CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,1,27,VNĐ,-722655000000.0,-1915192000000.0,-223497000000.0,-358420000000.0,-572769000000.0,-760506000000.0,-315503000000.0,-351908000000.0
RT_VALUE_PE,P/E Ratio,1,29,lần,7.9972963254,7.7536120794,9.2176089344,9.7010862292,9.6574823913,7.8669409272,6.645281248,6.0901654393
RT_VALUE_PB,P/B Ratio,1,30,lần,1.3740372886,1.3710322933,1.5555429688,1.7952342733,1.908187043,1.5255454637,1.3508258532,1.2297095007
RT_PRT_ROE,ROE %,1,33,%,0.1847695587,0.2125261854,0.1781584051,0.1983396542,0.2095951299,0.2109002393,0.217091936,0.2176080705
RT_PRT_ROA,ROA %,1,34,%,0.0114749694,0.0135341265,0.0111645876,0.0124243001,0.0130388701,0.0134305828,0.0137763153,0.0140766514
RT_BANK_NIM,Net Interest Margin (NIM),1,35,%,0.0288603186,0.0262384002,0.0275990772,0.026485883,0.0257229484,0.0262384002,0.0258964567,0.0268977165
RT_BANK_COF,Cost of Funds (COF),1,36,%,-0.0307154124,-0.0325057111,-0.0299484996,-0.0304483207,-0.0307483043,-0.0325057111,-0.0322510768,-0.034040968
RT_BANK_CIR,Cost to Income Ratio (CIR),1,37,%,-0.2752568858,-0.3041753615,-0.2698440155,-0.279539974,-0.2676450452,-0.3041753615,-0.2494372659,-0.2408816283
RT_BANK_LDR,Loan to Deposit Ratio (LDR),1,38,%,1.0719895585,1.1106858799,1.1105531414,1.1043012487,1.1211109406,1.1106858799,1.1120050646,1.10677871
RT_BANK_NPL,Non-Performing Loans Ratio (NPL),1,39,%,0.0121895,0.0110005995,0.0155355847,0.0130641885,0.0109127009,0.0110005995,0.0101541642,0.0119840842
RT_BANK_NPL_COVERAGE,NPL Coverage Ratio,1,40,%,-1.7467618864,-1.5883397374,-1.3681583481,-1.347550723,-1.7648268119,-1.5883397374,-1.6718606044,-1.3395351827
RT_BANK_CAR,Capital Adequacy Ratio (CAR),1,41,%,0.0,0.0989,0.0,0.1029,0.0,0.0,0.0,0.0
