id,item,level,order,unit,2025-Q3,2025-Q4,2026-Q1,2026-Q2
IS_PROFIT_BEFORE_TAX,IS_PROFIT_BEFORE_TAX,1,8,VNĐ,560090000000.0,-536822000000.0,338364000000.0,340113000000.0
IS_NET_PROFIT_AFTER_TAX,IS_NET_PROFIT_AFTER_TAX,1,9,VNĐ,444688000000.0,-472482000000.0,269160000000.0,250491000000.0
IS_MINORITY_INTEREST,IS_MINORITY_INTEREST,1,10,VNĐ,0.0,0.0,0.0,0.0
BS_CASH_AND_PRECIOUS_METALS,BS_CASH_AND_PRECIOUS_METALS,1,11,VNĐ,3653414000000.0,2135895000000.0,2983586000000.0,2476565000000.0
BS_FIXED_ASSETS,BS_FIXED_ASSETS,1,18,VNĐ,3810926000000.0,3852166000000.0,3812140000000.0,3799904000000.0
BS_TOTAL_ASSETS,BS_TOTAL_ASSETS,1,19,VNĐ,255707238000000.0,273270407000000.0,269958406000000.0,266067927000000.0
BS_TOTAL_LIABILITIES,BS_TOTAL_LIABILITIES,1,23,VNĐ,229165856000000.0,247264064000000.0,243524177000000.0,239580133000000.0
BS_CHARTER_CAPITAL,BS_CHARTER_CAPITAL,1,24,VNĐ,18688106000000.0,18688106000000.0,18688106000000.0,18688106000000.0
CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,1,26,VNĐ,6247245000000.0,7695604000000.0,-8534143000000.0,-1726935000000.0
CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,1,27,VNĐ,-126340000000.0,-113223000000.0,-59323000000.0,-51703000000.0
RT_VALUE_PE,P/E Ratio,1,29,lần,14.1007443155,37.1908762212,48.5855615896,64.7597213418
RT_VALUE_PB,P/B Ratio,1,30,lần,1.6176893122,1.6259017186,1.374091593,1.2025358692
RT_PRT_ROE,ROE %,1,33,%,0.1177178004,0.0444935853,0.0284671071,0.0186539556
RT_PRT_ROA,ROA %,1,34,%,0.0121426679,0.0044321789,0.002833525,0.0018473433
RT_BANK_NIM,Net Interest Margin (NIM),1,35,%,0.024203926,0.0247020808,0.024049501,0.0236730221
RT_BANK_COF,Cost of Funds (COF),1,36,%,-0.0408694461,-0.0421544408,-0.0435275919,-0.0464111135
RT_BANK_CIR,Cost to Income Ratio (CIR),1,37,%,-0.552942682,-0.5833270704,-0.5698390376,-0.5500755288
RT_BANK_LDR,Loan to Deposit Ratio (LDR),1,38,%,1.026861138,1.0389838402,1.039524218,1.1021110724
RT_BANK_NPL,Non-Performing Loans Ratio (NPL),1,39,%,0.029903085,0.0286226871,0.0306711133,0.0308133093
RT_BANK_NPL_COVERAGE,NPL Coverage Ratio,1,40,%,-0.3470252088,-0.4388735827,-0.3780376909,-0.3171032322
RT_BANK_CAR,Capital Adequacy Ratio (CAR),1,41,%,0.0,0.0,0.0,0.0
