id,item,level,order,unit,2025-Q3,2025-Q4,2026-Q1,2026-Q2
IS_PROFIT_BEFORE_TAX,IS_PROFIT_BEFORE_TAX,1,8,VNĐ,1587293000000.0,2298141000000.0,1890415000000.0,1532288000000.0
IS_NET_PROFIT_AFTER_TAX,IS_NET_PROFIT_AFTER_TAX,1,9,VNĐ,1274181000000.0,1851246000000.0,1514222000000.0,1250603000000.0
IS_MINORITY_INTEREST,IS_MINORITY_INTEREST,1,10,VNĐ,0.0,0.0,0.0,0.0
BS_CASH_AND_PRECIOUS_METALS,BS_CASH_AND_PRECIOUS_METALS,1,11,VNĐ,1907117000000.0,1458540000000.0,1960567000000.0,2284648000000.0
BS_FIXED_ASSETS,BS_FIXED_ASSETS,1,18,VNĐ,460951000000.0,497775000000.0,507921000000.0,663847000000.0
BS_TOTAL_ASSETS,BS_TOTAL_ASSETS,1,19,VNĐ,355678668000000.0,407673941000000.0,412910904000000.0,440998586000000.0
BS_TOTAL_LIABILITIES,BS_TOTAL_LIABILITIES,1,23,VNĐ,315122415000000.0,365227883000000.0,368932991000000.0,395752077000000.0
BS_CHARTER_CAPITAL,BS_CHARTER_CAPITAL,1,24,VNĐ,26000000000000.0,31200000000000.0,31200000000000.0,31200000000000.0
CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,1,26,VNĐ,4185866000000.0,6921110000000.0,9301365000000.0,-3659850000000.0
CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,1,27,VNĐ,-48626000000.0,-68945000000.0,-45972000000.0,-174611000000.0
RT_VALUE_PE,P/E Ratio,1,29,lần,7.2877601149,6.9567133101,8.6000999466,8.5279882762
RT_VALUE_PB,P/B Ratio,1,30,lần,0.9693203166,0.9224884912,1.1493041973,1.1101850974
RT_PRT_ROE,ROE %,1,33,%,0.1394704773,0.14202027,0.1413688903,0.1368022698
RT_PRT_ROA,ROA %,1,34,%,0.0162003452,0.0154667481,0.0154906724,0.0145684537
RT_BANK_NIM,Net Interest Margin (NIM),1,35,%,0.0344890617,0.0315133165,0.0322844039,0.0316796336
RT_BANK_COF,Cost of Funds (COF),1,36,%,-0.0341682677,-0.0335446504,-0.0356900282,-0.0384177071
RT_BANK_CIR,Cost to Income Ratio (CIR),1,37,%,-0.3896612329,-0.36083201,-0.3451156018,-0.3902061209
RT_BANK_LDR,Loan to Deposit Ratio (LDR),1,38,%,1.1175360307,1.0434084427,1.107272558,1.1257897306
RT_BANK_NPL,Non-Performing Loans Ratio (NPL),1,39,%,0.0279189191,0.0269011225,0.0265993934,0.0252846153
RT_BANK_NPL_COVERAGE,NPL Coverage Ratio,1,40,%,-0.5367986816,-0.5163795833,-0.5160760255,-0.5154729013
RT_BANK_CAR,Capital Adequacy Ratio (CAR),1,41,%,0.0,0.0,0.0,0.0
