id,item,level,order,unit,2024-Q4,2025,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
IS_PROFIT_BEFORE_TAX,IS_PROFIT_BEFORE_TAX,1,8,VNĐ,1453124546851.0,5022435152265.0,893193858987.0,999279447496.0,1538140545490.0,1591821300292.0,1223580247844.0,1246413283472.0
IS_NET_PROFIT_AFTER_TAX,IS_NET_PROFIT_AFTER_TAX,1,9,VNĐ,1155673585353.0,4010081114025.0,712455690082.0,792929830729.0,1227940580732.0,1276755012482.0,975186818278.0,972933237073.0
IS_MINORITY_INTEREST,IS_MINORITY_INTEREST,1,10,VNĐ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS_CASH_AND_PRECIOUS_METALS,BS_CASH_AND_PRECIOUS_METALS,1,11,VNĐ,787773771826.0,1160353537112.0,832216747375.0,1065540703576.0,1191390675319.0,1160353537112.0,1594267599732.0,1225909329257.0
BS_FIXED_ASSETS,BS_FIXED_ASSETS,1,18,VNĐ,630506628479.0,694141350833.0,612226263381.0,663591544459.0,771229368620.0,694141350833.0,660599646951.0,629745059705.0
BS_TOTAL_ASSETS,BS_TOTAL_ASSETS,1,19,VNĐ,280712371670087.0,322949479567113.0,289066935913466.0,308899421013687.0,315161711371066.0,322949479567113.0,344097628063307.0,351741185154313.0
BS_TOTAL_LIABILITIES,BS_TOTAL_LIABILITIES,1,23,VNĐ,249041326236763.0,289024801682522.0,256678717417099.0,275785687801722.0,282513856364562.0,289024801682522.0,309196924953867.0,315919296249515.0
BS_CHARTER_CAPITAL,BS_CHARTER_CAPITAL,1,24,VNĐ,24657891520000.0,26630522840000.0,24657891520000.0,24657891520000.0,26630522840000.0,26630522840000.0,26630522840000.0,26630522840000.0
CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,1,26,VNĐ,-4040021958909.0,17111680373603.0,-1449969210827.0,12318860618134.0,5068880630089.0,1173908336207.0,13194471300703.0,-7760932871275.0
CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,1,27,VNĐ,-35149823097.0,-490228459504.0,-336221976655.0,-117490373202.0,-52987087385.0,16470977738.0,-11047740431.0,-132001009716.0
RT_VALUE_PE,P/E Ratio,1,29,lần,8.1634346106,7.3459386529,10.9701720634,11.4198747622,8.2537976654,7.607659022,7.8220958551,7.5058905572
RT_VALUE_PB,P/B Ratio,1,30,lần,0.8213835444,0.8595637255,0.9973329621,1.0414569344,0.9869846772,0.9027381592,0.9608541632,0.936145103
RT_PRT_ROE,ROE %,1,33,%,0.1054175249,0.1222665415,0.0940623079,0.0942532094,0.1198266572,0.1222665415,0.1269903696,0.1297297527
RT_PRT_ROA,ROA %,1,34,%,0.0121861016,0.0133795063,0.0109193155,0.0105167177,0.013030216,0.0133795063,0.0132376577,0.0133522715
RT_BANK_NIM,Net Interest Margin (NIM),1,35,%,0.0348941885,0.0320028191,0.0349020239,0.0333587148,0.0331547228,0.0320028191,0.0303980218,0.0303957638
RT_BANK_COF,Cost of Funds (COF),1,36,%,-0.0434934567,-0.0463325929,-0.0432543889,-0.0426269772,-0.0434960323,-0.0463325929,-0.0466963729,-0.0504468927
RT_BANK_CIR,Cost to Income Ratio (CIR),1,37,%,-0.3777663453,-0.3626100212,-0.4408007954,-0.3819142368,-0.3648282298,-0.3626100212,-0.3709002578,-0.3288866778
RT_BANK_LDR,Loan to Deposit Ratio (LDR),1,38,%,1.1992471801,1.3248378122,1.158660042,1.2104290718,1.2604540814,1.3248378122,1.2887544395,1.3797867928
RT_BANK_NPL,Non-Performing Loans Ratio (NPL),1,39,%,0.0316552444,0.0319245262,0.0391163885,0.0346569217,0.0370063604,0.0319245262,0.0352084106,0.0348645027
RT_BANK_NPL_COVERAGE,NPL Coverage Ratio,1,40,%,-0.4713878735,-0.5632450105,-0.3499101428,-0.4051004312,-0.4060524205,-0.5632450105,-0.5555713032,-0.5938654852
RT_BANK_CAR,Capital Adequacy Ratio (CAR),1,41,%,0.0,0.123,0.0,0.0,0.0,0.0,0.0,0.0
