id,item,level,order,unit,2024-Q4,2025,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
IS_PROFIT_BEFORE_TAX,IS_PROFIT_BEFORE_TAX,1,8,VNĐ,2521109000000.0,15020581000000.0,4370504000000.0,4575827000000.0,3288220000000.0,2786030000000.0,4655899000000.0,4436084000000.0
IS_NET_PROFIT_AFTER_TAX,IS_NET_PROFIT_AFTER_TAX,1,9,VNĐ,2087502000000.0,11960295000000.0,3496350000000.0,3646899000000.0,2606723000000.0,2210323000000.0,3725963000000.0,3561597000000.0
IS_MINORITY_INTEREST,IS_MINORITY_INTEREST,1,10,VNĐ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS_CASH_AND_PRECIOUS_METALS,BS_CASH_AND_PRECIOUS_METALS,1,11,VNĐ,1563509000000.0,2038380000000.0,1690751000000.0,2097126000000.0,1825555000000.0,2038380000000.0,2351481000000.0,2058498000000.0
BS_FIXED_ASSETS,BS_FIXED_ASSETS,1,18,VNĐ,5328025000000.0,5538939000000.0,5321898000000.0,5350814000000.0,5363567000000.0,5538939000000.0,5515580000000.0,5508434000000.0
BS_TOTAL_ASSETS,BS_TOTAL_ASSETS,1,19,VNĐ,747478069000000.0,892008709000000.0,790742321000000.0,825718979000000.0,852622538000000.0,892008709000000.0,930982542000000.0,962666652000000.0
BS_TOTAL_LIABILITIES,BS_TOTAL_LIABILITIES,1,23,VNĐ,689410725000000.0,823877771000000.0,729269185000000.0,762451065000000.0,786861281000000.0,823877771000000.0,859259342000000.0,887512614000000.0
BS_CHARTER_CAPITAL,BS_CHARTER_CAPITAL,1,24,VNĐ,36629085000000.0,45942000000000.0,40657470000000.0,40657470000000.0,45942000000000.0,45942000000000.0,45942000000000.0,45942000000000.0
CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,1,26,VNĐ,6120568000000.0,34917817000000.0,14735318000000.0,-13423133000000.0,11269993000000.0,22335639000000.0,17542502000000.0,-16431995000000.0
CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,1,27,VNĐ,-91602000000.0,-345745000000.0,-19964000000.0,-61883000000.0,-45120000000.0,-218778000000.0,-13875000000.0,-31597000000.0
RT_VALUE_PE,P/E Ratio,1,29,lần,5.1768528735,4.5197883768,5.9877891909,7.5378253655,6.4813373399,5.9351420318,4.9520158292,4.5158699382
RT_VALUE_PB,P/B Ratio,1,30,lần,0.8331099957,0.7855818747,0.9357469423,1.3069289606,1.166566115,1.0533926008,0.8367757348,0.7309187362
RT_PRT_ROE,ROE %,1,33,%,0.1723643549,0.1895476675,0.1661104206,0.1839488044,0.1904894496,0.1895476675,0.1813412375,0.1724490572
RT_PRT_ROA,ROA %,1,34,%,0.0135298878,0.0145902915,0.0133159435,0.0143768137,0.0147206543,0.0145902915,0.0139260205,0.0133080516
RT_BANK_NIM,Net Interest Margin (NIM),1,35,%,0.0330226598,0.0267447208,0.0317616575,0.036614038,0.0376820221,0.0267447208,0.0250249124,0.0213857423
RT_BANK_COF,Cost of Funds (COF),1,36,%,-0.0473039678,-0.0506603651,-0.0458638329,-0.0463990049,-0.0474987393,-0.0506603651,-0.0518855026,-0.0558931639
RT_BANK_CIR,Cost to Income Ratio (CIR),1,37,%,-0.2443647651,-0.2212982813,-0.1750814452,-0.1567472009,-0.2541338425,-0.2212982813,-0.1717461475,-0.1501498764
RT_BANK_LDR,Loan to Deposit Ratio (LDR),1,38,%,1.0401151381,1.0746525192,1.0713652487,1.0584738015,1.0761707685,1.0746525192,1.0465887863,1.0566131403
RT_BANK_NPL,Non-Performing Loans Ratio (NPL),1,39,%,0.0289733903,0.0237076831,0.028722205,0.0279902294,0.0305770229,0.0237076831,0.0259814858,0.0207274873
RT_BANK_NPL_COVERAGE,NPL Coverage Ratio,1,40,%,-0.5839368076,-0.7201983844,-0.5916658427,-0.5863170417,-0.5690960647,-0.7201983844,-0.7119752223,-0.8250767001
RT_BANK_CAR,Capital Adequacy Ratio (CAR),1,41,%,0.0,0.1262,0.0,0.0,0.0,0.0,0.0,0.0
