id,item,level,order,unit,2025-Q3,2025-Q4,2026-Q1,2026-Q2
IS_PROFIT_BEFORE_TAX,IS_PROFIT_BEFORE_TAX,1,8,VNĐ,9166297000000.0,10229245000000.0,7920786000000.0,10959179000000.0
IS_NET_PROFIT_AFTER_TAX,IS_NET_PROFIT_AFTER_TAX,1,9,VNĐ,7363737000000.0,8118409000000.0,6329468000000.0,8775909000000.0
IS_MINORITY_INTEREST,IS_MINORITY_INTEREST,1,10,VNĐ,88258000000.0,161267000000.0,130807000000.0,391279000000.0
BS_CASH_AND_PRECIOUS_METALS,BS_CASH_AND_PRECIOUS_METALS,1,11,VNĐ,2943026000000.0,2774182000000.0,4065152000000.0,3246271000000.0
BS_FIXED_ASSETS,BS_FIXED_ASSETS,1,18,VNĐ,1849256000000.0,2028824000000.0,1970053000000.0,1921316000000.0
BS_TOTAL_ASSETS,BS_TOTAL_ASSETS,1,19,VNĐ,1178298568000000.0,1260149596000000.0,1372010032000000.0,1502526376000000.0
BS_TOTAL_LIABILITIES,BS_TOTAL_LIABILITIES,1,23,VNĐ,1018753281000000.0,1079873967000000.0,1185405231000000.0,1311311032000000.0
BS_CHARTER_CAPITAL,BS_CHARTER_CAPITAL,1,24,VNĐ,79339236000000.0,79339236000000.0,79339236000000.0,79339236000000.0
CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,1,26,VNĐ,4043752000000.0,17134993000000.0,12145698000000.0,3065000000.0
CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,1,27,VNĐ,-2135000000.0,-56998000000.0,-18002000000.0,-1215629000000.0
RT_VALUE_PE,P/E Ratio,1,29,lần,11.3340624075,9.0451623018,7.9961785268,6.5858998075
RT_VALUE_PB,P/B Ratio,1,30,lần,1.5200947226,1.2923674217,1.2076215069,1.1011960939
RT_PRT_ROE,ROE %,1,33,%,0.1353631359,0.1464806273,0.1549858913,0.1661884394
RT_PRT_ROA,ROA %,1,34,%,0.0196626449,0.0219688282,0.0213979546,0.0224475803
RT_BANK_NIM,Net Interest Margin (NIM),1,35,%,0.0545193341,0.055666197,0.0526134435,0.0524073241
RT_BANK_COF,Cost of Funds (COF),1,36,%,-0.0439945047,-0.0477326439,-0.0476730576,-0.051731217
RT_BANK_CIR,Cost to Income Ratio (CIR),1,37,%,-0.2198752421,-0.2495561479,-0.2169118997,-0.1964806639
RT_BANK_LDR,Loan to Deposit Ratio (LDR),1,38,%,1.5301489759,1.5029212988,1.5246633641,1.584692925
RT_BANK_NPL,Non-Performing Loans Ratio (NPL),1,39,%,0.0351346486,0.033334729,0.0358182903,0.0327941385
RT_BANK_NPL_COVERAGE,NPL Coverage Ratio,1,40,%,-0.5505499821,-0.5539213223,-0.5279791062,-0.5617347241
RT_BANK_CAR,Capital Adequacy Ratio (CAR),1,41,%,0.0,0.0,0.0,0.0
