dataset,status,message,RetrievedAt
bank:VCB,OK,OK,2026-08-21T09:09:45+07:00
bank:BID,OK,OK,2026-08-21T09:10:09+07:00
bank:CTG,OK,OK,2026-08-21T09:10:31+07:00
bank:TCB,OK,OK,2026-08-21T09:10:53+07:00
bank:MBB,OK,OK,2026-08-21T09:11:23+07:00
bank:ACB,OK,OK,2026-08-21T09:11:50+07:00
bank:HDB,OK,OK,2026-08-21T09:12:16+07:00
bank:VPB,OK,OK,2026-08-21T09:12:37+07:00
bank:STB,OK,OK,2026-08-21T09:12:58+07:00
bank:VIB,OK,OK,2026-08-21T09:13:19+07:00
bank:SHB,OK,OK,2026-08-21T09:13:39+07:00
bank:TPB,OK,OK,2026-08-21T09:13:58+07:00
bank:LPB,OK,OK,2026-08-21T09:14:19+07:00
bank:OCB,OK,OK,2026-08-21T09:14:40+07:00
bank:MSB,OK,OK,2026-08-21T09:15:00+07:00
bank:SSB,OK,OK,2026-08-21T09:15:21+07:00
bank:EIB,OK,OK,2026-08-21T09:15:43+07:00
bank:NAB,OK,OK,2026-08-21T09:16:03+07:00
bank:KLB,OK,OK,2026-08-21T09:16:29+07:00
bank:BAB,OK,OK,2026-08-21T09:16:52+07:00
omo,OK,,2026-08-21T09:16:53+07:00
fx,OK,,2026-08-21T09:16:53+07:00
policy_rate,OK,,2026-08-21T09:16:54+07:00
interbank,OK_ACCUMULATED,"history_obs=23; new_fetch_obs=23; start=2025-08-28; end=2026-07-31; source=interest_rate_long; interbank_rate:2021-01-01->2021-12-31:ERROR:Failed to fetch data: 404 - Not Found | interbank_rate:2022-01-01->2022-12-31:ERROR:Failed to fetch data: 404 - Not Found | interbank_rate:2023-01-01->2023-12-31:ERROR:Failed to fetch data: 404 - Not Found | interbank_rate:2024-01-01->2024-12-31:ERROR:Failed to fetch data: 404 - Not Found | interbank_rate:2025-01-01->2025-12-31:ERROR:Failed to fetch data: 404 - Not Found | interbank_rate:2026-01-01->2026-08-21:ERROR:Failed to fetch data: 404 - Not Found | interest_rate_long:rows=365,on=23",2026-08-21T09:16:57+07:00
